Komoditas,Tahun,Bulan,Harga
 Ikan Kembung,2023,Juli,Rp40.746
 Ikan Tongkol,2023,Juli,Rp36.594
 Ikan Bandeng,2023,Juli,Rp35.530
 Garam konsumsi,2023,Juli,Rp12.011
 Beras Premium,2023,Agustus,Rp13.872
 Beras Medium,2023,Agustus,Rp12.187
 Kedelai Biji Kering,2023,Agustus,Rp13.063
 Bawang Merah,2023,Agustus,Rp29.170
 Bawang Putih (Bonggol),2023,Agustus,Rp39.338
 Cabai Merah Keriting,2023,Agustus,Rp42.965
Cabai Rawit Merah,2023,Agustus,Rp46.711
 Daging Sapi Murni,2023,Agustus,Rp135.807
 Daging Ayam Ras,2023,Agustus,Rp36.053
 Telur Ayam Ras,2023,Agustus,Rp30.470
 Gula Pasir Lokal/Curah,2023,Agustus,Rp14.767
 Tepung Terigu Curah,2023,Agustus,Rp11.107
 Tepung Terigu Kemasan,2023,Agustus,Rp13.769
 Minyak Goreng Kemasan,2023,Agustus,Rp17.780
 Minyak Goreng Curah,2023,Agustus,Rp14.738
 Jagung Tk. Peternak,2023,Agustus,Rp6.721
 Ikan Kembung,2023,Agustus,Rp40.649
 Ikan Tongkol,2023,Agustus,Rp36.453
 Ikan Bandeng,2023,Agustus,Rp35.270
 Garam konsumsi,2023,Agustus,Rp12.052
 Beras Premium,2023,September,Rp14.582
 Beras Medium,2023,September,Rp12.940
 Kedelai Biji Kering,2023,September,Rp13.105
 Bawang Merah,2023,September,Rp25.148
 Bawang Putih (Bonggol),2023,September,Rp37.651
 Cabai Merah Keriting,2023,September,Rp41.007
Cabai Rawit Merah,2023,September,Rp38.539
 Daging Sapi Murni,2023,September,Rp135.772
 Daging Ayam Ras,2023,September,Rp35.626
 Telur Ayam Ras,2023,September,Rp29.054
 Gula Pasir Lokal/Curah,2023,September,Rp15.014
 Tepung Terigu Curah,2023,September,Rp11.054
 Tepung Terigu Kemasan,2023,September,Rp13.758
 Minyak Goreng Kemasan,2023,September,Rp17.653
 Minyak Goreng Curah,2023,September,Rp14.687
 Jagung Tk. Peternak,2023,September,Rp7.064
 Ikan Kembung,2023,September,Rp40.305
 Ikan Tongkol,2023,September,Rp36.396
 Ikan Bandeng,2023,September,Rp35.601
 Garam konsumsi,2023,September,Rp12.074
 Beras Premium,2023,Oktober,Rp15.014
 Beras Medium,2023,Oktober,Rp13.277
 Kedelai Biji Kering,2023,Oktober,Rp13.222
 Bawang Merah,2023,Oktober,Rp24.403
 Bawang Putih (Bonggol),2023,Oktober,Rp36.810
 Cabai Merah Keriting,2023,Oktober,Rp46.029
Cabai Rawit Merah,2023,Oktober,Rp55.904
 Daging Sapi Murni,2023,Oktober,Rp135.393
 Daging Ayam Ras,2023,Oktober,Rp35.808
 Telur Ayam Ras,2023,Oktober,Rp28.248
 Gula Pasir Lokal/Curah,2023,Oktober,Rp15.681
 Tepung Terigu Curah,2023,Oktober,Rp11.021
 Tepung Terigu Kemasan,2023,Oktober,Rp13.712
 Minyak Goreng Kemasan,2023,Oktober,Rp17.581
 Minyak Goreng Curah,2023,Oktober,Rp14.623
 Jagung Tk. Peternak,2023,Oktober,Rp7.322
 Ikan Kembung,2023,Oktober,Rp39.520
 Ikan Tongkol,2023,Oktober,Rp35.667
 Ikan Bandeng,2023,Oktober,Rp35.610
 Garam konsumsi,2023,Oktober,Rp11.972
 Beras Premium,2023,November,Rp15.045
 Beras Medium,2023,November,Rp13.234
 Kedelai Biji Kering,2023,November,Rp13.455
 Bawang Merah,2023,November,Rp28.846
 Bawang Putih (Bonggol),2023,November,Rp36.112
